class_id	task_id	task_name	task_content	task_deadline
GA12101	2	知能と情報科学2	これは課題の内容です\nこの画面で編集すると自動的にデータベースに保存されます	2020-07-10 23:59:00
GA12101	3	知能と情報科学3	画面左に表示されているのは履修登録している科目一覧です\n科目名をクリックすると、その科目の課題だけ表示することができます\n上部の入力欄から履修科目を追加することもできます	2020-07-17 23:59:00
GA14111	1	知識情報概論1	これは課題の内容です\nこの画面で編集すると自動的にデータベースに保存されます	2020-06-30 23:59:00
GA14111	2	知識情報概論2	上に表示されているのは課題名と科目名です\n課題名はそのまま編集することができます\n編集すると自動的にデータベースに保存されます\n\nこれは課題の内容です\n下には提出期限が表示されています	2020-07-09 23:59:00
GA14111	3	知識情報概論3	画面左に表示されているのは履修登録している科目一覧です\n科目名をクリックすると、その科目の課題だけ表示することができます\n上部の入力欄から履修科目を追加することもできます	2020-07-16 23:59:00
GA15231	3	線形代数3	上に表示されているのは課題名と科目名です\n課題名はそのまま編集することができます\n編集すると自動的にデータベースに保存されます\n\nこれは課題の内容です\n下には提出期限が表示されています	2020-07-12 12:30:00
GA15131	4	情報数学4		2020-07-15 23:00:00
GA15131	3	情報数学3	画面左に表示されているのは履修登録している科目一覧です\n科目名をクリックすると、その科目の課題だけ表示することができます\n上部の入力欄から履修科目を追加することもできます	2020-07-10 23:00:00
GA15231	1	線形代数1	上に表示されているのは課題名と科目名です\n課題名はそのまま編集することができます\n編集すると自動的にデータベースに保存されます\n\nこれは課題の内容です\n下には提出期限が表示されています	2020-06-30 23:59:00
GA15131	2	情報数学2	これは課題の内容です\nこの画面で編集すると自動的にデータベースに保存されます	2020-07-07 23:00:00
GA15131	1	情報数学1	画面左に表示されているのは履修登録している科目一覧です\n科目名をクリックすると、その科目の課題だけ表示することができます\n上部の入力欄から履修科目を追加することもできます	2020-06-30 23:59:00
GA15231	4	線形代数4	これは課題の内容です\nこの画面で編集すると自動的にデータベースに保存されます	2020-07-15 12:30:00
GC13201	1	dbレポート1	上に表示されているのは課題名と科目名です\n課題名はそのまま編集することができます\n編集すると自動的にデータベースに保存されます\n\nこれは課題の内容です\n下には提出期限が表示されています	2020-06-30 23:59:00
GC13201	2	dbレポート2	画面左に表示されているのは履修登録している科目一覧です\n科目名をクリックすると、その科目の課題だけ表示することができます\n上部の入力欄から履修科目を追加することもできます	2020-07-09 23:59:00
GC13201	3	dbレポート3	上に表示されているのは課題名と科目名です\n課題名はそのまま編集することができます\n編集すると自動的にデータベースに保存されます\n\nこれは課題の内容です\n下には提出期限が表示されています	2020-07-16 23:59:00
GC13201	4	dbレポート4	これは課題の内容です\nこの画面で編集すると自動的にデータベースに保存されます	2020-07-23 23:59:00
GA15231	6	線形代数2		2020-07-03 12:30:00
35H3012	1	ロシア語課題2	画面左に表示されているのは履修登録している科目一覧です\n科目名をクリックすると、その科目の課題だけ表示することができます\n上部の入力欄から履修科目を追加することもできます	2020-07-02 12:00:00
35H3012	2	ロシア語課題3	これは課題の内容です\nこの画面で編集すると自動的にデータベースに保存されます	2020-07-07 12:00:00
35H3012	3	ロシア語課題1		2020-07-01 09:00:00
MR12345	1	もりしま1		2020-06-30 12:00:00
MR12345	2	もりしまテスト		2020-07-01 18:00:00
